问题,上级,等级
留所服刑人员从事警务人员工作,留所服刑人员管理使用,原则性问题
"与监室在押人员接触、谈话,无民警监管",留所服刑人员管理使用,原则性问题
监室放风场等拘押场所,公安监所安全管理,原则性问题
监区内违规携带使用通讯工具,监室放风场等拘押场所,原则性问题
看守所在押人员在监区、监室及放风场所抽烟,监室放风场等拘押场所,原则性问题
看守所监室未落实双人值班或从事其他有碍值班活动情况,监室放风场等拘押场所,原则性问题
其他安全隐患,监室放风场等拘押场所,原则性问题
着装管理,,普遍性问题
警容不严整,着装管理,普遍性问题
着制式服装敞怀、挽袖、卷裤腿,警容不严整,普遍性问题
警便混穿,警容不严整,普遍性问题
警用标志缀饰不齐全等警容风纪问题,警容不严整,普遍性问题
警姿不规范,着装管理,普遍性问题
追逐打闹,警姿不规范,普遍性问题
非因就餐、补餐等吃零食,警姿不规范,普遍性问题
行为举止不佳现象,警姿不规范,普遍性问题
着仿制警服,着装管理,普遍性问题
辅警人员着仿制警服,着仿制警服,普遍性问题
社会人员着仿制警服问题,着仿制警服,普遍性问题
内务秩序,,普遍性问题
内务卫生,内务秩序,普遍性问题
环境卫生差,内务卫生,普遍性问题
物品放置乱,内务卫生,普遍性问题
办公、办案等场所放置与工作无关物品,内务卫生,普遍性问题
涉案物品随意放置在值班区、办公区内,内务卫生,普遍性问题
监控范围内橱顶、桌下等卫生死角问题,内务卫生,普遍性问题
警车管理,,普遍性问题
警车制式,警车管理,普遍性问题
"警车制式不规范,未规范啊喷涂航拍好、后尾号等相关制式",警车制式,普遍性问题
未规范悬挂警灯、号牌,警车制式,普遍性问题
规范使用,警车管理,普遍性问题
车辆出现无人看护等防盗风险,规范使用,普遍性问题
非工作需要违规停放问题,规范使用,普遍性问题
公车私用,规范使用,普遍性问题
"巡逻车辆违规长时间驶出辖区或非紧急警务超速,开特权车、霸王车等",规范使用,普遍性问题
语音督察,,原则性问题
电话长时间无人接听,语音督察,原则性问题
"值班或服务电话长时间无人接听,或固定时间段多次长时间无人接听",电话长时间无人接听,原则性问题
电话接待态度冷漠,语音督察,一般性问题
"接待群众是否热情,语言文明",电话接待态度冷漠,一般性问题
受理时推诿,语音督察,原则性问题
"接待群众是否依法办事,是否推诿、拖拉、刁难",受理时推诿,原则性问题
公话私用情况,语音督察,一般性问题
"工作期间有无公话私用,从事与工作无关的活动",公话私用情况,一般性问题
"超长通话,通话时长可参数化配置",公话私用情况,一般性问题
带值班机制落实情况,语音督察,一般性问题
结合值班室查看当值领导和人员是否在岗在位,带值班机制落实情况,一般性问题
其他语音使用及接待群众不规范行为,语音督察,普遍性问题
其他语音使用及接待群众不规范行为,其他语音使用及接待群众不规范行为,普遍性问题
警力定位,,原则性问题
出警时效,警力定位,原则性问题
"出警时效对照110系统派警时间定位,查看出警时效情况",出警时效,原则性问题
违规行驶,警力定位,一般性问题
巡逻车辆长时间驶出辖区及非紧急警务超速、闯红灯、强行超车等不规范行车情况,违规行驶,一般性问题
节假日违规用车,违规行驶,一般性问题
违规停车,警力定位,一般性问题
在酒店、旅游景点、营业性娱乐场所等禁停点长期停放,违规停车,一般性问题
到岗在位,警力定位,原则性问题
重大活动突发事件到岗在位情况,到岗在位,原则性问题
其他问题,警力定位,普遍性问题
定位系统正常运行情况,其他问题,普遍性问题
其他问题情况,其他问题,普遍性问题
监控问题,,普遍性问题
监控维护问题,监控问题,普遍性问题
监控内容模糊、画面不清晰,监控维护问题,普遍性问题
监控有遮挡物,监控维护问题,普遍性问题
监控角度偏差过大、主画面面对墙体,监控维护问题,普遍性问题
监控硬件问题,监控问题,普遍性问题
监控设备故障,监控硬件问题,普遍性问题
监控设备离线,监控硬件问题,普遍性问题
